,0
minutes_N1,0.63656447097125
minutes_L3,0.4515502568218195
minutes_L2,0.4513275217031687
total_points_L6,0.4478567943188531
total_points_SAT,0.44654561310013036
ict_index_L6,0.44326420166911906
lasted_long_L3,0.44185804164329023
minutes_L6,0.4399657764554976
bps_L6,0.43920655513961243
lasted_long_L2,0.43747461271918464
ict_index_SALOC,0.4359179594765941
ict_index_SAT,0.435485590322704
minutes_L1,0.4347886140937286
ict_index_L3,0.43475360268752844
lasted_long_L6,0.433461822881621
total_points_SALOC,0.4329997652458677
bps_L3,0.4311929934193346
influence_L6,0.43056978618544084
total_points_L3,0.4300611775423775
influence_SAT,0.4274365914117483
bps_SAT,0.42387987241899366
minutes_SALOC,0.42052711091391437
bps_SALOC,0.419009178339352
influence_L3,0.4179975219801072
influence_SALOC,0.4174446838623614
minutes_SAT,0.41558821891835457
ict_index_L2,0.41451688268017023
lasted_long_SALOC,0.41314543333914117
lasted_long_L1,0.4118848238754833
lasted_long_SAT,0.41032202098479736
bps_L2,0.40923771188545355
total_points_L2,0.39902307312670615
influence_L2,0.3953090189677204
decent_week_SAT,0.3854001987792448
decent_week_L6,0.3754876214126569
ict_index_L1,0.37040098537245586
bps_L1,0.3683336907817116
clean_sheets_SAT,0.36529595483244026
creativity_L6,0.36081597179982877
decent_week_SALOC,0.3566874092940245
threat_L6,0.3549024610453158
threat_SALOC,0.3528305420642878
influence_L1,0.3513415738603609
creativity_SALOC,0.35006719699503086
creativity_SAT,0.34992570339424167
threat_SAT,0.34948760148634955
creativity_L3,0.34625209638504556
clean_sheets_L6,0.34578022115468354
threat_L3,0.34502662995259237
total_points_L1,0.34436363674932974
decent_week_L3,0.3434832345623658
good_week_SAT,0.3426356983819774
bonus_SAT,0.3368405048908308
clean_sheets_SALOC,0.33411768393976676
goals_conceded_SAT,0.33303716568660896
selected,0.3315111972548514
creativity_L2,0.327164570413317
threat_L2,0.3232306311969457
goals_conceded_L6,0.32108023706719696
clean_sheets_L3,0.31127739713109115
decent_week_L2,0.3110368370146768
goals_conceded_SALOC,0.30885535674028286
goals_conceded_L3,0.29945135436622994
good_week_L6,0.2970666703968495
good_week_SALOC,0.2947119254467395
transfers_in_SALOC,0.29291116895347163
value,0.29009558365320093
goals_scored_SAT,0.28901246682392145
bonus_L6,0.2886986549974439
creativity_L1,0.28837371944099566
assists_SAT,0.2871297091859755
transfers_in_SAT,0.28647969082169183
bonus_SALOC,0.28646385261062124
transfers_in,0.28521418961210787
goals_conceded_L2,0.2822043824723701
clean_sheets_L2,0.28000562251086475
transfers_in_L3,0.2755506395506251
threat_L1,0.2736117827628854
transfers_in_L6,0.27252740590576013
transfers_out_SAT,0.26934452562352507
goals_scored_L6,0.26910433263974565
transfers_in_L2,0.26654466037090474
transfers_out_SALOC,0.26497331116114076
goals_scored_SALOC,0.2628981000394794
good_week_L3,0.2601017201857578
assists_L6,0.25521331045825996
assists_SALOC,0.2546332156056967
decent_week_L1,0.25348109844770284
bonus_L3,0.24735898432948095
goals_scored_L3,0.24037014138052354
great_week_SAT,0.2394557368258148
goals_conceded_L1,0.23684375972177985
transfers_out_L6,0.23343559332114489
transfers_in_L1,0.23242018090631741
good_week_L2,0.2270342041710755
clean_sheets_L1,0.218449885606517
assists_L3,0.21657484690034765
goals_scored_L2,0.2126928515315163
bonus_L2,0.21175746193958309
yellow_cards_SAT,0.20912558870275122
transfers_out_L3,0.199878383160735
great_week_L6,0.19875391629420722
great_week_SALOC,0.19563307602653937
yellow_cards_L6,0.18512604680068928
assists_L2,0.1801080461340937
good_week_L1,0.17693642130992923
transfers_out_L2,0.17515333912731296
yellow_cards_SALOC,0.1743068164705539
goals_scored_L1,0.16995018519966792
bonus_L1,0.1692662005024106
great_week_L3,0.1648621588863868
transfers_out_L1,0.16398940115506414
transfers_balance,0.16105423609506364
yellow_cards_L3,0.15881477474416142
oddsL,0.15657700308214856
transfers_out,0.14958588106765833
assists_L1,0.14855899676238482
yellow_cards_L2,0.14241005857802588
oddsL_SALOC,0.13848176619161942
Sf_SALOC,0.13489501836405532
Cf_SALOC,0.12983316790931002
great_week_L2,0.12930637867727396
oddsD_SALOC,0.1277761189789044
saves_L6,0.1271257145761388
STf_SALOC,0.12688646054336766
saves_L2,0.1261433424710305
saves_L3,0.12531058650454993
FTgf_SALOC,0.12348272042862499
saves_SAT,0.12132491279805029
saves_SALOC,0.11939878641983273
saves_L1,0.11867894645690691
pts_SALOC,0.11859109509965954
transfers_balance_L2,0.10887331779976356
oddsL_SAT,0.10702299327480388
oddsL_L6,0.10628728807364658
yellow_cards_L1,0.10564677615007914
great_week_L1,0.10364388565970761
FIX1_Sa_SALOC,0.10298440362940076
oddsD_SAT,0.10097239612671144
transfers_balance_L3,0.1006030539963535
oddsL_L3,0.10032252288691774
FIX1_Ca_SALOC,0.10017850108900449
FIX1_Ca_SAT,0.10007101394462384
FTgf_SAT,0.09976479293123601
FIX1_Sa_SAT,0.099664943909157
FIX1_num_opponents,0.09878847411229967
transfers_balance_L1,0.09764809052941434
FIX1_STa_SAT,0.096701539950258
pts_SAT,0.09651123217048391
FIX1_avg_team_pts_concession_pos_SAT,0.09640202542506325
FIX1_Ca_L6,0.09628878265740257
oddsD_L6,0.09624864928675152
transfers_balance_SAT,0.09549070988951248
STf_SAT,0.09354797743456428
FIX1_Sa_L6,0.09298559473453648
Sf_SAT,0.09187921347640339
FIX1_max_team_pts_concession_pos_SAT,0.09099761827444712
penalties_missed_SAT,0.09086545591244971
FIX1_Ff_SALOC,0.09038234432914592
transfers_balance_L6,0.09033417754437066
oddsD_L3,0.09015462678893545
FIX1_Sa_L3,0.08971673684833974
FIX1_oddsW_SALOC,0.0891135865897498
FIX1_Ff_SAT,0.08909962921755928
STf_L6,0.08908225406176214
FIX1_STa_SALOC,0.08669632787263311
FTgf_L6,0.08664237208935029
FIX1_oddsW_SAT,0.0862217651988486
FIX1_Ca_L3,0.08543421343375365
Sf_L6,0.08540800521131663
substitute_SALOC,0.08480136809488484
Cf_SAT,0.08413899061688379
pts_L6,0.08364174986041885
FIX1_Ff_L6,0.0835489613934103
oddsL_L2,0.08319897905140759
substitute_SAT,0.08268649884974284
FIX1_avg_team_pts_concession_pos_SALOC,0.0824054321012199
FIX1_avg_team_pts_concession_pos_L6,0.08228635417986468
FIX1_Fa_L6,0.08046715166688197
FIX1_STa_L6,0.07989180797991487
Cf_L6,0.07958100136906048
FIX1_Sa_L2,0.07938253813460609
FIX1_FTga_SAT,0.07924985120898069
FIX1_Fa_SAT,0.07809716350530323
STf_L3,0.077686038428369
FIX1_max_team_pts_concession_pos_SALOC,0.07733427159298459
FTgf_L3,0.07703223344831223
penalties_missed_SALOC,0.07611956859295306
FIX1_avg_team_pts_concession_pos_L3,0.0755905148298801
Sf_L3,0.07467156932569659
hour,0.07417127405492766
FIX1_Fa_L2,0.07409801875701573
FIX1_Ca_L2,0.0736433438290913
FIX1_Fa_L3,0.07323864521338622
FIX1_Ff_L3,0.07178776484636659
FIX1_Ff_L2,0.07131696022111982
FIX1_oddsW_L6,0.07119362563779683
pts_L3,0.07118203567256316
transfers_balance_SALOC,0.07097733503522478
FIX1_STa_L3,0.07085545012204561
FIX1_max_team_pts_concession_pos_L6,0.06918457800284653
FIX1_STa_L2,0.0683631316708732
FIX1_Fa_SALOC,0.06718574663487908
oddsL_L1,0.06608790081619365
FIX1_max_team_pts_concession_pos_L3,0.06494668390163807
Fa_SALOC,0.06485147413177064
Sf_L2,0.0631626615190383
oddsD_L2,0.06287155650633738
was_home,0.06276917779762191
oddsD,0.062370738062090016
FIX1_Sa_L1,0.06091729313429536
FIX1_FTga_SALOC,0.0604882304253033
substitute_L6,0.06022096638232969
FIX1_avg_team_pts_concession_pos_L2,0.05991765014234733
FIX1_Fa_L1,0.05917533105946159
FIX1_STa_L1,0.05871173305352996
FIX1_Ca_L1,0.057890846817485936
Cf_L3,0.057166609758850545
STf_L2,0.05687751040241004
FIX1_Ff_L1,0.05638112712722665
own_goals_SAT,0.05634139830711689
penalties_saved_SAT,0.055979724570380196
penalties_missed_L6,0.05569258172726168
pts_L2,0.05553050555068239
FIX1_FTga_L3,0.05443590136200394
FIX1_oddsW_L3,0.05436953335619419
red_cards_SAT,0.05363116496226741
FIX1_max_team_pts_concession_pos_L2,0.052258561790556095
FIX1_FTga_L6,0.05116783687637738
FIX4_Sa_L3,0.05111770836478117
substitute_L3,0.050642626318619946
FTgf_L2,0.0505578459168339
oddsD_L1,0.04970449944835945
FIX1_FTga_L2,0.048663335850002515
FIX1_oddsW_L2,0.04846060397767094
FIX6_Ff_L2,0.04777056806400495
FIX5_Sa_L3,0.04748037155228497
FIX4_Sa_L2,0.046198633050144024
FIX4_Ca_L6,0.045893369422557326
FIX4_Sa_L6,0.045741838786341665
FIX5_Sa_L2,0.04548773518374504
FIX5_avg_team_pts_concession_pos_L3,0.045183257137918154
FIX5_Fa_L2,0.04518037045695143
substitute_L2,0.04507949020100066
FIX6_avg_team_pts_concession_pos_L3,0.04471791669538871
FIX2_Ca_L6,0.04463932474006632
FIX4_Ca_L3,0.04440605092147216
FIX5_Ca_L6,0.044386328237068035
FIX6_Fa_L2,0.04429993910331739
FIX5_Sa_L6,0.04418120217932089
penalties_saved_L6,0.043789240159791375
own_goals_L6,0.04331605327400681
FIX2_num_opponents,0.043039624816857865
red_cards_SALOC,0.04250833280148543
FIX3_Sa_L3,0.04221964444463052
Cf_L2,0.04197175362032434
position,0.041403886875524085
FIX3_num_opponents,0.04133408900031981
FIX1_FTga_L1,0.04127536971305186
FIX1_avg_team_pts_concession_pos_L1,0.04110830335639091
FIX4_Ca_L2,0.041073178757493986
penalties_missed_L3,0.04045464172437728
own_goals_SALOC,0.04039271885397842
FIX6_Ca_L6,0.039678781939453
FIX6_Sa_L3,0.039587682994293376
FIX5_Ca_L3,0.0394735328744766
FIX3_Ca_L6,0.039316416755813904
FIX2_Ca_L3,0.039202726466175494
FIX3_Sa_L2,0.039143320792837895
FIX6_Sa_L6,0.03913795936079485
Ff_SALOC,0.03911349853132852
FIX3_Ca_L3,0.039039637013330006
Sf_L1,0.038997425121203765
own_goals_L3,0.038197399051204756
FIX6_Sa_L2,0.037921307478236244
FIX4_Ff_L2,0.037878440617627525
FIX4_Sa_SAT,0.037829952096555375
FIX2_Sa_L3,0.037782932202446315
penalties_saved_SALOC,0.037684331422175796
FIX4_Fa_L2,0.03765615499576121
FIX5_STa_L2,0.03727664962293093
FIX3_Fa_L2,0.03706344042371428
penalties_missed_L2,0.037003558333493634
FIX6_Fa_L3,0.0368563248180096
FIX3_Sa_L6,0.0365755450814974
FIX5_Sa_SAT,0.036470456681448535
FIX5_Fa_L3,0.036352586266099524
FIX2_avg_team_pts_concession_pos_L6,0.0356933574606423
FIX6_Sa_SAT,0.035636543056335214
substitute_L1,0.03563276876467095
FIX1_max_team_pts_concession_pos_L1,0.03537987728336332
FIX6_Ca_L3,0.035196184010845365
FIX6_Ff_L6,0.03504028823038915
FIX5_Ff_L2,0.03496557812329955
STf_L1,0.034863437098710086
FIX5_Fa_L1,0.03474043118454735
FIX5_avg_team_pts_concession_pos_L6,0.03469661229069679
FIX2_Ca_SAT,0.03467159063585075
FIX2_Sa_L6,0.034597399500710925
FIX2_avg_team_pts_concession_pos_L3,0.034297009711415354
FIX5_avg_team_pts_concession_pos_L2,0.03408597778399637
FIX4_STa_L2,0.03379715205161761
FIX4_Sa_L1,0.033649830091166705
FIX6_Ff_L3,0.03357821636521069
FIX6_Fa_L1,0.03331513858002493
FIX2_avg_team_pts_concession_pos_SAT,0.03303226494350096
pts_L1,0.032951582276208445
FIX5_Ca_L2,0.03278242474046509
FIX2_Sa_L2,0.03267369612935451
FIX4_avg_team_pts_concession_pos_L3,0.03266680972102489
FIX6_STa_L2,0.03257312363803091
FIX3_Sa_SAT,0.032458030106865064
FIX6_Ca_SAT,0.03226617206491145
FIX4_STa_L1,0.03217890146535238
FIX6_avg_team_pts_concession_pos_SAT,0.032128538845846766
FIX5_STa_L3,0.03201398570868112
penalties_saved_L3,0.03198417404121884
FIX5_STa_L1,0.03174826696032701
FIX6_Fa_L6,0.031584586795224474
FIX5_avg_team_pts_concession_pos_SAT,0.03157275313566414
FIX4_STa_L3,0.03140207380082465
FIX3_Fa_L6,0.0313034306322436
FIX2_Sa_SAT,0.031106450072207286
FIX6_avg_team_pts_concession_pos_L6,0.031079844753323215
FIX4_Ca_SAT,0.03086980192163751
FIX6_Ff_L1,0.030627086134048038
FIX1_oddsW_L1,0.030571658207381617
FIX6_num_opponents,0.030357919895017047
FIX2_Fa_L2,0.030312504370903284
FIX4_Fa_L3,0.030296663093660935
FTgf_L1,0.030117050490529883
FIX3_Ca_SAT,0.02993136079489033
FIX5_Fa_L6,0.029791173876894138
FIX5_Sa_L1,0.029764718911304403
FIX2_Fa_L1,0.02974814457580384
FIX3_avg_team_pts_concession_pos_L3,0.029681473573706225
FIX5_max_team_pts_concession_pos_L3,0.02937902214838384
FIX4_Fa_L6,0.029362662185584348
FIX6_Ca_L2,0.029300955762915474
FIX3_Ca_L2,0.028915973546227897
FIX4_Ca_L1,0.02883795038294749
FIX4_Fa_L1,0.028720519657717096
FIX3_avg_team_pts_concession_pos_L6,0.028508296313033435
FIX4_avg_team_pts_concession_pos_SAT,0.028383891100735085
FIX3_Fa_L1,0.028357979272911366
FIX2_max_team_pts_concession_pos_L3,0.0282923775383285
FIX2_STa_L2,0.02825778333217513
FIX2_STa_L6,0.028067033378540406
FIX2_Ff_L2,0.02796396055735445
FIX5_num_opponents,0.02788191271266718
FIX6_avg_team_pts_concession_pos_L2,0.027874140680774873
FIX6_max_team_pts_concession_pos_L3,0.027794103056410852
FIX3_STa_L2,0.027591593540127905
FIX2_Ff_L1,0.02752916693605295
ppmin,0.02747920608866026
FIX4_oddsW_SAT,0.02707155101206683
FIX4_avg_team_pts_concession_pos_L2,0.02695568236263532
Cf_L1,0.02693970059306404
FIX4_STa_L6,0.026810638864900514
penalties_saved_L2,0.026746773663196683
FIX5_Ca_SAT,0.02663015813060554
FIX4_Ff_L6,0.0264605521199173
FIX4_Ff_L1,0.026388377948424684
FIX2_STa_L3,0.02638529649310933
FIX2_oddsW_SAT,0.02597741729832267
FIX4_avg_team_pts_concession_pos_L6,0.025863548513977975
FIX3_Fa_L3,0.02581470801284097
FIX6_STa_L3,0.025685687724635923
FIX2_max_team_pts_concession_pos_SAT,0.02558028003009407
own_goals_L2,0.02557998689603589
FIX5_STa_L6,0.025477073164471956
FIX3_STa_L1,0.025370190390376433
FIX2_Ca_L2,0.025279293904751875
own_goals_L1,0.02527268987766148
FIX3_oddsW_SAT,0.025255815221910668
FIX3_max_team_pts_concession_pos_L3,0.025219634113855333
FIX6_oddsW_SAT,0.02417013186939565
FIX2_max_team_pts_concession_pos_L6,0.02405783804025396
FIX2_STa_SAT,0.023949261727818853
FIX5_Ff_L1,0.023905072230061577
FIX4_STa_SAT,0.02375867016421298
FIX3_Sa_L1,0.023624474964098727
FIX2_Fa_L6,0.023601338757492523
FIX2_STa_L1,0.0235864556015222
FIX4_num_opponents,0.023494629020378865
FIX5_max_team_pts_concession_pos_L2,0.02332895213599254
FIX3_Ff_L2,0.02328422159651535
